x,y,box type,section,nestbox,longitude,latitude
447796.72,207573.76,GT,B,B1,-1.3088096826272393,51.764811862185475
447805.72,207531.76,GT,B,B2,-1.3086850449859468,51.76443349881888
447845.72,207529.76,GT,B,B3,-1.3081057554477602,51.76441210956566
447845.72,207474.76,GT,B,B4,-1.3081133115500123,51.7639176375235
447829.72,207426.76,GT,B,B5,-1.308351726665546,51.76348746192975
447795.72,207458.76,GT,B,B7,-1.308839954550184,51.76377805112266
447775.72,207477.76,GT,B,B8,-1.3091271261444326,51.76395057154052
447762.72,207546.76,GT,B,B10,-1.3093060195341006,51.764572015756464
447748.72,207573.76,GT,B,B11,-1.3095051657819188,51.76481594784077
447764.69,207643.69,GT,B,B12,-1.3092641812551804,51.76544328774135
447721.72,207648.76,GT,B,B13,-1.3098860975303814,51.76549252441002
447778.72,207683.76,GT,B,B14,-1.3090553967992968,51.76580233887784
447811.72,207658.76,GT,B,B15,-1.308580674185631,51.76557476858198
447829.72,207726.76,GT,B,B16,-1.3083105237753858,51.766184581975786
447895.72,207732.76,GT,B,B18,-1.3073533805400173,51.766232895693655
447946.72,207757.76,GT,B,B20,-1.306610964601195,51.76645330080323
447972.72,207764.76,GT,B,B21,-1.3062332667660235,51.76651401168222
447949.72,207797.76,GT,B,B22,-1.3065619872451628,51.76681266025585
447871.72,207890.76,GT,B,B23,-1.3076794109644019,51.767655425901964
447850.72,207818.76,GT,B,B24,-1.307993598347049,51.767009908389525
447847.72,207781.76,GT,B,B25,-1.3080421523412016,51.76667751950207
447793.72,207785.76,GT,B,B26,-1.3088240540115055,51.76671808239262
447787.72,207749.76,GT,B,B27,-1.3089159335460527,51.766394938977264
447745.72,207696.76,GT,B,B28,-1.3095317695174329,51.765922022457204
447720.72,207711.76,GT,B,B29,-1.3098919536706197,51.76605900474315
447699.72,207701.8,GT,B,B30,-1.310197600286606,51.765971245550006
447707.72,207601.76,GT,B,B31,-1.3100953886451505,51.7650711657065
447671.72,207612.76,GT,B,B32,-1.3106154983299558,51.76517311908416
447656.72,207558.76,GT,B,B33,-1.310840228287362,51.764688911104805
447690.72,207545.76,GT,B,B34,-1.3103493758493878,51.764569147867746
447668.72,207577.76,GT,B,B35,-1.3106637572202837,51.76485870974169
447687.72,207515.76,GT,B,B36,-1.3103969512545541,51.76429969063125
447626.72,207504.76,GT,B,B37,-1.3112822890469793,51.76420597566774
447613.72,207496.76,GT,B,B38,-1.311471740356159,51.76413515537788
447589.54,207473.85,GT,B,B39,-1.3118252154767145,51.76393123584163
447566.31,207446.79,GT,B,B40,-1.312165489754291,51.7636899245181
447521.72,207412.76,GT,B,B42,-1.3128161923263897,51.763387757883955
447567.72,207480.76,GT,B,B43,-1.312140420775006,51.76399520921472
447530.23,207487.25,GT,B,B44,-1.3126827269426224,51.76405673296661
447522.72,207498.76,GT,B,B45,-1.3127899687594693,51.76416084849713
447552.72,207561.8,GT,B,B46,-1.3123466901171923,51.76472506295582
447547.72,207503.76,GT,B,B47,-1.3124270602914614,51.76420368324972
447574.72,207528.76,GT,B,B48,-1.3120324409268451,51.7644261555162
447581.72,207564.76,GT,B,B49,-1.3119260985311043,51.764749216795444
447646.72,207615.76,GT,B,B51,-1.3109773216908476,51.76520221320309
447605.72,207641.76,GT,B,B52,-1.3115678313486832,51.76543944289846
447587.72,207675.76,GT,B,B53,-1.3118239950978403,51.76574664318563
447542.72,207616.76,GT,B,B54,-1.3124840792294665,51.76522002292555
447532.72,207566.76,GT,B,B55,-1.3126357974269722,51.76477134951724
447510.72,207575.76,GT,B,B56,-1.3129533326684752,51.76485412592471
447524.72,207609.76,GT,B,B57,-1.3127458432216168,51.76515861452955
447502.72,207651.76,GT,B,B58,-1.3130588799751495,51.76553807411673
447501.72,207669.76,GT,B,B59,-1.313070914160034,51.7656999860959
